	author_id	occupation_Accounting	occupation_Advertising	occupation_Agriculture	occupation_Architecture	occupation_Arts	occupation_Automotive	occupation_Banking	occupation_Biotech	occupation_BusinessServices	occupation_Chemicals	occupation_Communications-Media	occupation_Construction	occupation_Consulting	occupation_Education	occupation_Engineering	occupation_Environment	occupation_Fashion	occupation_Government	occupation_HumanResources	occupation_Internet	occupation_InvestmentBanking	occupation_Law	occupation_LawEnforcement-Security	occupation_Manufacturing	occupation_Maritime	occupation_Marketing	occupation_Military	occupation_Museums-Libraries	occupation_Non-Profit	occupation_Publishing	occupation_RealEstate	occupation_Religion	occupation_Science	occupation_Sports-Recreation	occupation_Student	occupation_Technology	occupation_Telecommunications	occupation_Tourism	occupation_Transportation	occupation_indUnk	topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_8	topic_9	topic_10	topic_11	topic_13	topic_15	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	zodiac_sign_Aquarius	zodiac_sign_Aries	zodiac_sign_Cancer	zodiac_sign_Capricorn	zodiac_sign_Gemini	zodiac_sign_Leo	zodiac_sign_Libra	zodiac_sign_Pisces	zodiac_sign_Sagittarius	zodiac_sign_Scorpio	zodiac_sign_Taurus	zodiac_sign_Virgo	token_count_(-0.001, 150.0]	token_count_(150.0, 300.0]	token_count_(300.0, 450.0]	token_count_(450.0, 600.0]	token_count_(600.0, 1000.0]	token_count_(1000.0, 1500.0]	token_count_(1500.0, 14958.0]	sent_count_(-0.001, 15.0]	sent_count_(15.0, 30.0]	sent_count_(30.0, 45.0]	sent_count_(45.0, 60.0]	sent_count_(60.0, 100.0]	sent_count_(100.0, 150.0]	sent_count_(150.0, 601.0]	pron_per_sents_(-0.001, 1.0]	pron_per_sents_(1.0, 2.0]	pron_per_sents_(2.0, 3.0]	pron_per_sents_(3.0, 4.0]	pron_per_sents_(4.0, 5.0]	pron_per_sents_(5.0, 10.0]	pron_per_sents_(10.0, 670.333]	pron_per_tokens_(-0.001, 0.025]	pron_per_tokens_(0.025, 0.05]	pron_per_tokens_(0.05, 0.075]	pron_per_tokens_(0.075, 0.1]	pron_per_tokens_(0.1, 0.33]	punct_per_sents_(-0.001, 1.0]	punct_per_sents_(1.0, 2.0]	punct_per_sents_(2.0, 3.0]	punct_per_sents_(3.0, 5.0]	punct_per_sents_(5.0, 10.0]	punct_per_sents_(10.0, 47.0]	punct_per_tokens_(-0.001, 0.1]	punct_per_tokens_(0.1, 0.2]	punct_per_tokens_(0.2, 0.779]	sentiment_[0.0, 0.2)	sentiment_[0.2, 0.4)	sentiment_[0.4, 0.6)	sentiment_[0.6, 0.8)	sentiment_[0.8, 1.0)	irony_(-0.001, 0.2]	irony_(0.2, 0.4]	irony_(0.4, 0.6]	irony_(0.6, 0.8]	irony_(0.8, 1.0]	sarcasm_(-0.001, 0.2]	sarcasm_(0.2, 0.4]	sarcasm_(0.4, 0.6]	sarcasm_(0.6, 0.8]	sarcasm_(0.8, 1.0]
0	5114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
1	8349	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
2	9470	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
3	11762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
4	15365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
5	17944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
6	21828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0
7	24336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
8	26357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
9	28417	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
