,Extents,Intents
0,"topic_6,zodiac_sign_Libra","punct_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]"
1,"topic_6,zodiac_sign_Sagittarius","punct_per_tokens_(-0.001, 0.1]"
2,"topic_6,zodiac_sign_Scorpio","punct_per_tokens_(-0.001, 0.1]"
3,"topic_8,zodiac_sign_Cancer","punct_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]"
4,"topic_8,zodiac_sign_Leo","punct_per_tokens_(-0.001, 0.1]"
5,"topic_8,zodiac_sign_Sagittarius","pron_per_sents_(-0.001, 1.0],punct_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]"
6,"topic_8,zodiac_sign_Scorpio","punct_per_tokens_(-0.001, 0.1]"
7,"topic_11,zodiac_sign_Aquarius","punct_per_tokens_(-0.001, 0.1]"
8,"topic_11,zodiac_sign_Cancer","punct_per_tokens_(-0.001, 0.1]"
9,"topic_11,zodiac_sign_Capricorn","punct_per_tokens_(-0.001, 0.1]"
10,"topic_11,zodiac_sign_Leo","punct_per_tokens_(-0.001, 0.1]"
11,"topic_11,zodiac_sign_Libra","punct_per_tokens_(-0.001, 0.1]"
12,"topic_11,zodiac_sign_Sagittarius","punct_per_tokens_(-0.001, 0.1]"
13,"zodiac_sign_Capricorn,sentiment_[0.0, 0.2)","sarcasm_(-0.001, 0.2]"
14,"occupation_Student,zodiac_sign_Aries,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
15,"occupation_Student,zodiac_sign_Cancer,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
16,"occupation_Student,zodiac_sign_Libra,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
17,"occupation_Student,zodiac_sign_Scorpio,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
18,"occupation_Student,zodiac_sign_Virgo,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
19,"occupation_Student,zodiac_sign_Virgo,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
20,"occupation_indUnk,zodiac_sign_Aquarius,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
21,"occupation_indUnk,zodiac_sign_Aries,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
22,"occupation_indUnk,zodiac_sign_Cancer,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
23,"occupation_indUnk,zodiac_sign_Libra,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
